file,jsx_strings,attr_strings,total_hardcoded,t_calls
components/storefront/SellerEscrowPanel.jsx,3,0,3,0
components/storefront/SellerInventoryPanel.jsx,3,0,3,0
components/storefront/SellerOrderTable.jsx,3,0,3,0
components/ui/breadcrumb.jsx,1,2,3,0
lib/jadeEconomyMonitor.js,3,0,3,0
components/BotWidget.jsx,2,0,2,0
components/ConfirmDialog.jsx,0,2,2,0
components/PermissionGate.jsx,2,0,2,0
components/WalletConnector.jsx,2,0,2,0
components/ailab/ModelProviderPanel.jsx,2,0,2,0
components/ailab/SquadOutputChart.jsx,1,1,2,0
components/ailab/StarterTemplateBrowser.jsx,2,0,2,0
components/bazar/BazarBalanceCard.jsx,2,0,2,0
components/bot-farm/BotFarmIntegrityPanel.jsx,2,0,2,0
components/bot-farm/BotFarmLeaderPanel.jsx,2,0,2,0
components/bot-farm/BotFarmPredictiveUtils.jsx,2,0,2,0
components/bot-farm/BotFarmUpgradePanel.jsx,2,0,2,0
components/bot-mini-app/MiniAppChatPanel.jsx,1,1,2,0
components/bot-mini-app/MiniAppNftPanel.jsx,2,0,2,0
components/builder/WebsiteGeneratorLivePreview.jsx,2,0,2,0
components/builder/WebsiteGeneratorPageMap.jsx,2,0,2,0
components/cards/BattleView.jsx,2,0,2,0
components/dashboard/SharedDashboardCollabBar.jsx,2,0,2,0
components/dashboard/TickerBar.jsx,2,0,2,0
components/dashboard/YieldPerformance.jsx,2,0,2,0
components/economy/EconomyBalanceCard.jsx,2,0,2,0
components/economy/EconomyContractStatus.jsx,2,0,2,0
components/economy/EconomyTransactionList.jsx,2,0,2,0
components/economy/EconomyTransferForm.jsx,1,1,2,0
components/jackie/EducationPanel.jsx,2,0,2,0
components/jackie/JackieHeader.jsx,2,0,2,0
components/jackie/MessageBubble.jsx,2,0,2,0
components/messages/ChatDirectory.jsx,2,0,2,0
components/storefront/SellerSalesAnalytics.jsx,2,0,2,0
components/telegram/TelegramLogPanel.jsx,2,0,2,0
components/ui/carousel.jsx,2,0,2,0
lib/PageNotFound.jsx,2,0,2,0
